id,tags,label
184,zero_no_tsukaima louise_françoise_le_blanc_de_la_vallière high_resolution 4:3_aspect_ratio 1boy clothing flower long_sleeves male mountain pink_hair rock sitting sitting_on_lap sitting_on_person skirt thighhighs potential_duplicate Rating:Safe Score:3.0 Size:1600x1200 User:anonymous,boy
35593,makai_senki_disgaea_(series) makai_senki_disgaea_2 makai_senki_disgaea_3 nippon_ichi_software adell adell_(disgaea) tsuyuka_(sunny_spot) low_resolution 5:4_aspect_ratio 1boy alone clothing male male_focus necktie red_hair sigh solo Rating:Safe Score:0.0 Size:300x240 User:anonymous,boy
37983,demonbane claudius 4:3_aspect_ratio censored 1boy anus ass little_penis male male_focus messy penis semen solo tentacles tentacles_on_male testicles rape shota contentious_content source_request Rating:Explicit Score:4.6 Size:1024x768 User:anonymous,boy
41147,high_resolution monochrome comic greyscale 1boy food foreskin little_penis male male_masturbation masturbation penis crossdressing shota contentious_content Rating:Explicit Score:5.0 Size:857x1242 User:anonymous,boy
41188,original inbu monochrome greyscale 1boy blush bulge clothing male male_focus pantsu penis penis_in_panties solo underwear shota contentious_content non-web_source Rating:Explicit Score:0.0 Size:557x800 User:anonymous,boy
41274,original mizukami_ranmaru high_resolution monochrome comic greyscale 1boy anus blush little_penis male penis saliva schoolboy sweat tears thighhighs trembling wrong_way_on_a_one_way shota contentious_content non-web_source Rating:Explicit Score:5.0 Size:976x1400 User:anonymous,boy
41510,high_resolution monochrome comic greyscale 1boy anal bottomless male male_focus semen sex thighhighs shota yaoi contentious_content Rating:Explicit Score:0.0 Size:838x1200 User:anonymous,boy
41512,getbackers midou_ban amano_ginji 1boy bed character_doll male male_focus sheep solo star implied_yaoi shota yaoi contentious_content Rating:Questionable Score:0.0 Size:410x580 User:anonymous,boy
41619,original mudou_eichi 1boy bikini headphones male male_focus male_only male_solo pettanko solo swimsuit crossdressing shota contentious_content Rating:Explicit Score:1.0 Size:750x534 User:anonymous,boy
41659,original takase_yuu high_resolution monochrome comic greyscale 1boy anal blush little_penis male male_focus penis saliva sex shota yaoi contentious_content Rating:Explicit Score:4.6 Size:970x1400 User:anonymous,boy
41734,daisuki_na_sensei_ni_h_na_onedari_shichau_omase_na_boku_no/watashi_no_puni_puni keito_(watashi_no_puni_puni) munyuu cg_art 4:3_aspect_ratio game_cg censored mosaic_censoring 1boy aqua_eyes bra clothing green_hair lingerie male male_focus pantsu panty_pull penis penis_ribbon ribbon short_hair solo tears tied_penis underwear underwear_only underwear_pull undressing young crossdressing shota contentious_content potential_duplicate Rating:Explicit Score:5.0 Size:800x600 User:anonymous,boy
42219,uncensored low_resolution pov 1boy anal bottomless ejaculation erection eyes_closed father father_and_son forced_orgasm male male_focus malesub open_clothes open_shirt penis pull semen sex shirt solo_focus son spread_legs tears incest rape shota yaoi contentious_content extreme_content Rating:Explicit Score:5.0 Size:380x450 User:anonymous,boy
42451,vocaloid kagamine_len dated gradient_background 2007 1boy bent_knees blonde_hair blue_eyes bottomless cherry chocolate chocolate_ice_cream chocolate_mint_ice_cream erection food fruit gradient green_ice_cream ice_cream ice_cream_cone kneeling licking male male_focus mint penis ponytail popsicle sexually_suggestive sitting soft_serve solo spoon strawberry_ice_cream sundae testicles tied_hair tongue tongue_out vanilla_ice_cream wariza shota contentious_content Rating:Explicit Score:4.7 Size:600x800 User:anonymous,boy
42466,1boy anal ejaculating_while_penetrated ejaculation flip-flops grin hairy_legs leg_hair male male_focus male_pubic_hair penis pubic_hair red_hair sandals semen sex smile solo_focus wince age_difference shota yaoi contentious_content Rating:Explicit Score:4.5 Size:830x636 User:anonymous,boy
42496,original simple_background white_background 1boy animal_ears boots bow boy_in_food cat_boy cat_tail drink food footwear glass in_food looking_at_viewer male male_focus miniboy nekomimi nipples nude sitting solo tail tea testicles yellow_eyes shota contentious_content Rating:Explicit Score:5.0 Size:812x746 User:anonymous,boy
42618,high_resolution uncensored 1boy armpits arms_up blonde_hair blush bottomless little_penis male male_focus penis solo tears testicles trembling shota contentious_content Rating:Explicit Score:3.3 Size:804x1210 User:anonymous,boy
42782,digimon digimon_savers noguchi_ikuto simple_background 1boy blush flaccid foreskin little_penis male male_focus nude penis solo shota contentious_content Rating:Explicit Score:4.5 Size:640x528 User:anonymous,boy
42835,m_(m's_works) simple_background white_background uncensored multiple_views 1boy after_sex anus ass back backsack blue_eyes blush dark_skin dripping_semen from_behind looking_at_viewer male male_focus male_only masturbation m'sworks. nude over_shoulder penis purple_hair scrotum semen semen_in_anus semen_on_ass semen_on_body semen_on_boy semen_on_lower_body smile solo tanlines tanned testicles shota yaoi contentious_content Rating:Explicit Score:4.4 Size:886x605 User:anonymous,boy
46221,naruto naruto_(series) orochimaru lily_(artist) low_resolution 1boy about_to_be_raped crazy male male_focus on_crack rape_face solo Rating:Explicit Score:5.0 Size:332x392 User:anonymous,boy
46802,naruto naruto_(series) hatake_kakashi high_resolution very_high_resolution official_art 1boy clothing fingerless_gloves forehead_protector gloves kunai male male_focus male_only mask short_hair silver_hair solo weapon white_hair potential_duplicate artist_request Rating:Explicit Score:0.0 Size:1109x2874 User:anonymous,boy
47176,naruto naruto_(series) uchiha_sasuke idnar realistic 1boy black_hair clothing headband heterochromia male male_focus male_only open_clothes open_shirt shirt short_hair solo spiky_hair uchiha_symbol Rating:Safe Score:3.0 Size:759x781 User:anonymous,boy
60630,macross macross_frontier saotome_alto kakizaka_hachishika 4:3_aspect_ratio simple_background character_name copyright_name blue_background 1boy black_hair closed_mouth clothing collared_shirt dress_shirt hand_in_pocket long_hair looking_at_viewer male male_focus necktie ponytail red_eyes red_necktie red_neckwear shirt smirk solo standing tied_hair white_shirt Rating:Safe Score:0.0 Size:520x390 User:anonymous,boy
71998,tengen_toppa_gurren-lagann simon_(tengen_toppa_gurren-lagann) simon natsuki_heru 1boy adult blue_hair clothing crossed_arms goggles goggles_on_head male male_focus older open_clothes open_shirt shirt solo potential_duplicate Rating:Explicit Score:0.0 Size:580x524 User:anonymous,boy
72138,tengen_toppa_gurren-lagann tengen_toppa_gurren_lagann:_parallel_works lordgenome guame kazuko simple_background white_background 1boy ahoge armadillo_(animal) blonde_hair blue_hair clavicle green_eyes hood hoodie male male_focus multicolored_hair ringed_eyes short_hair shorts solo young younger androgynous Rating:Explicit Score:4.5 Size:411x650 User:anonymous,boy
72263,tengen_toppa_gurren-lagann kamina dousaki_shinya dousaki_shin'ya simple_background white_background text 1boy abs bandages blue_hair bodypaint cape chest glasses_on_head kamina_shades male male_focus male_only male_solo megane muscle sarashi shirtless shirtless_(male) short_hair smile solo Rating:Explicit Score:0.0 Size:550x661 User:anonymous,boy
